"Data Source","World Development Indicators",

"Last Updated Date","2018-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Barbados","BRB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","39006","37486","36712","34120","34138","32884","33989","34324","34536","31299","31147","30728","30337","30907","30161","","","","29584","28516","","26662","","","","","","","24792","24475","24225","23394","23074","22327","22249","22461","22584","22849","22727","22659","22509","","","21171","20909","20731","",
"Brunei Darussalam","BRN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","27941","29692","30652","30772","30747","30109","30824","32188","33053","29934","30513","31677","31682","32771","34373","34815","36983","36861","38146","39862","","38933","39782","41134","42270","42672","43291","43540","45369","45827","45428","44487","44882","46242","46382","46012","46086","45972","45125","44681","44215","43767","42753","42090","41078","40397","40471","",
"Bhutan","BTN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","9039","9324","10361","","12810","","16671","18821","19595","22648","29899","34481","37404","41372","44275","45395","49485","51948","55340","","","52017","51411","56773","60089","64915","69968","74666","78007","81156","85092","88204","90944","93974","97323","99458","102225","104467","106100","108842","110369","111183","110575","104323","101667","99291","96654","",
"Botswana","BWA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","83002","78442","81662","95511","103711","116293","125588","137290","145459","156664","171914","178107","187065","198328","209772","223608","235941","248823","261352","275437","283516","298812","301482","305479","310128","313693","318629","322268","321271","322475","324283","329451","330835","330376","328692","329191","330417","327617","327233","330775","","","335830","340065","340700","","","",
"Central African Republic","CAF","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","176300","177776","193866","200445","215887","221432","234482","238605","240720","243419","246174","259525","271117","291444","308022","309656","274179","286422","297457","323661","308409","277961","","","","","","","","","458585","410562","414537","363158","412381","418825","494985","584078","608075","636871","648370","662317","","","","813767","",
"Canada","CAN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","2846220","2786106","2695021","2597576","2534137","2440016","2361318","2295925","2239354","2205865","2184919","2296996","2271784","2251535","2244170","2254887","2269639","2290535","2319300","2345000","2375704","2394115","2399224","2400819","2413126","2448144","","2403709","2428620","2456434","","","","2389188","2320738","2305211","2260819","2200335","2193237","2168022","2153778","2182843","2206136","2249164","2303964","2318914","",
"Central Europe and the Baltics","CEB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","557856","561773","561645","556885","503153","502337","485902","468531","450942","434288","415478","398931","385474","376512","373245","375302","383042","394061","404154","414129","443512","447240","461805","477643","","522741","529610","538372","537744","536423","535577","532092","524222","517056","510804","505382","499435","492508","487436","483466","483707","483886","490469","498338","",
"Channel Islands","CHI","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","1752005","1876954","1907160","1931356","1937002","1899501","1845796","1825758","1810257","1804834","1754075","1714614","1676005","1647081","1593266","1596471","1574899","","1543596","1564047","1593486","1609140","1583503","1608204","","","1687386","1753867","1777257","1804612","1798515","","1753952","1713538","1755997","1720951","1694765","1679017","1656810","1611682","1546543","1520405","1503898","1472348","1469099","1477538","1493732","",
"China","CHN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","100668000","105280000","112112000","125492000","135704000","144814000","150941000","150055000","146176000","146240000","146629400","146270000","143328000","139720400","135780400","135571200","133701800","131825000","128358500","125357800","123731000","122413800","121641500","122012800","124212400","128226233","131951477","136150042","139953696","","","130132548","125756891","121662360","","","108925227","107394752","105950505","103617063","101018623","99707841","99540477","98870818","95107117","95958037","98189335","",
"Cote d'Ivoire","CIV","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","464817","502865","527615","566689","606263","641369","672707","735511","810244","888728","954190","1024585","1085124","1134915","1159824","1179456","1214511","1251531","1306695","1364263","1405187","1414865","1447785","1463963","1553540","1609929","1662265","1735814","1807503","1910820","1943101","2046861","2116223","2046165","","","2111975","2179801","2356240","2383359","","2757613","2920791","3021417","3176874","3370558","3617219","",
"Cameroon","CMR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","923234","930131","967561","1014135","1074021","1122900","1146437","1202841","1254065","1302974","1379205","1443728","1535582","1563852","1634428","1705319","1795254","1875221","1881884","1946301","1964146","1915148","","1892778","1896722","1786340","1921186","2023809","2133707","2237083","2689052","2741627","2798523","2979011","2977781","2998135","3120357","3201477","3350662","3510396","3585173","3848611","","4142775","4369988","4481235","",
